,Institution,Acceptance Rate (%)
0,Pomona College,7.4
1,Swarthmore College,9.0
102,Northwestern University,9.0
2,Colby College,9.6
3,Grinnell College,10.0
4,Amherst College,11.8
103,University of Southern California,12.0
5,Bates College,12.1
6,Williams College,13.0
7,Barnard College,14.0
8,Middlebury College,15.0
9,Hamilton College,16.1
10,Haverford College,16.1
11,Pitzer College,16.6
104,Boston University,19.0
12,Wesleyan University,19.0
13,Davidson College,19.5
14,Carleton College,21.0
16,Scripps College,23.0
15,Vassar College,23.0
105,University of North Carolina at Chapel Hill,25.0
17,Colgate University,27.0
19,Denison University,28.0
18,University of Richmond,28.0
20,Rhodes College,29.0
106,University of Texas at Austin,29.0
21,Skidmore College,30.0
22,Franklin & Marshall College,30.0
23,Lafayette College,31.0
24,Smith College,31.0
25,Macalester College,31.0
107,University of Florida,31.0
26,Bard College,32.0
108,University of Miami,33.0
29,Trinity College,34.0
30,Bucknell University,34.0
28,Kenyon College,34.0
27,Sewanee - The University of the South,34.0
32,Wheaton College,36.0
31,Occidental College,36.0
109,Florida State University,37.0
110,San Diego State University,37.0
34,Mount Holyoke College,38.0
35,Connecticut College,38.0
33,Bryn Mawr College,38.0
37,Reed College,39.0
36,College of the Holy Cross,39.0
40,Union College,41.0
39,Dickinson College,41.0
38,Whitman College,41.0
42,St. Lawrence University,42.0
41,Gettysburg College,42.0
43,St. Olaf College,43.0
112,Syracuse University,44.0
111,"University of Maryland, College Park",44.0
113,University of Central Florida,45.0
44,Lawrence University,47.0
114,University of Georgia,48.0
45,Kalamazoo College,53.0
116,University of Wisconsin-Madison,54.0
115,Pennsylvania State University,54.0
46,DePauw University,54.0
47,Augustana College,55.0
48,Centre College,55.0
49,Wabash College,55.0
50,Sarah Lawrence College,55.0
117,University of Connecticut,56.0
118,University of Minnesota Twin Cities,57.0
51,Furman University,61.0
119,University of Missouri-St. Louis,62.0
120,University of Utah,62.0
121,"California State University, Fullerton",63.0
122,University of Illinois at Urbana-Champaign,63.0
52,Hobart and William Smith Colleges,64.0
124,University of Massachusetts Amherst,65.0
123,Towson University,65.0
53,Knox College,66.0
126,Western Kentucky University,68.0
125,University of South Carolina,68.0
54,Beloit College,68.0
57,Wofford College,70.0
56,Earlham College,70.0
55,Willamette University,70.0
58,Lake Forest College,71.0
128,Michigan State University,71.0
127,Temple University,71.0
59,Allegheny College,72.0
60,Wheaton College (MA),72.0
61,Millsaps College,72.0
