University,Approx. Acceptance Rate (%)
Harvard University,4
Stanford University,4.3
Princeton University,5.8
Yale University,5.9
Columbia University,6.1
University of Chicago,6.2
California Institute of Technology,6.4
MIT,6.7
Brown University,6.9
University of Pennsylvania,7.7
Duke University,8.6
Vanderbilt University,9.1
Dartmouth College,9.2
Northwestern University,9.3
Cornell University,10.6
"University of California, Los Angeles",10.8
Rice University,11
Johns Hopkins University,11.2
University of Southern California,12.4
Georgetown University,14.4
"University of California, Berkeley",14.8
Washington University in St. Louis,15
Emory University,15.6
University of Notre Dame,15.8
Tufts University,16.3
University of Virginia,20
University of North Carolina at Chapel Hill,24.4
Boston College,26
"University of Michigan, Ann Arbor",26.1
University of Miami,27
University of Florida,28.8
Wake Forest University,29
"University of California, San Diego",31
University of Texas at Austin,32
University of Georgia,42
"University of Minnesota, Twin Cities",46
Pennsylvania State University,47
"University of Maryland, College Park",50
Ohio State University,54
University of Wisconsin-Madison,54
University of Washington,56
University of Colorado Boulder,61
Rutgers University,63
University of Pittsburgh,64
University of Illinois at Urbana-Champaign,66
Purdue University,68
University of Connecticut,70
Indiana University Bloomington,71
University of Massachusetts Amherst,76
"University of California, Davis",77
University of Delaware,78
Texas A&M University,79
Michigan State University,80
Syracuse University,83
University of Iowa,84
University of Kansas,85
University of Arizona,88
University of Oregon,88
University of Vermont,89
University of Alabama,89
University of Tennessee,90
University of Kentucky,91
University of Oklahoma,92
University of Missouri,92
University of Arkansas,93
University of South Carolina,94
University of Nebraska-Lincoln,94
University of Mississippi,94
Clemson University,94
Louisiana State University,95
University of New Hampshire,95
University of Hawaii,95
"University of California, Santa Cruz",95
Florida State University,95
University of Utah,96
Oklahoma State University,96
Arizona State University,96
University of Central Florida,96
University of North Texas,96
University of Houston,96
University of Illinois at Chicago,96
"University of Nevada, Reno",97
University of Rhode Island,97
"University of Nevada, Las Vegas",97
University of Louisville,97
University of Buffalo,98
University of Alabama at Birmingham,98
University of Idaho,98
University of Wyoming,99
University of South Dakota,99
University of North Dakota,99
Montana State University,99
University of Montana,99
University of New Mexico,99
University of Maine,99
West Virginia University,99
University of Toledo,99
University of Alaska Fairbanks,99
University of Alaska Anchorage,99
