College,Acceptance Rate (%)
Pomona College,8
Swarthmore College,9
Bowdoin College,9
Colby College,10
Barnard College,11
Claremont McKenna College,11
Amherst College,12
Harvey Mudd College,13
Williams College,13
Hamilton College,14
Colorado College,14
Middlebury College,15
Carleton College,17
Bates College,17
Haverford College,18
Davidson College,18
Washington and Lee University,19
Grinnell College,19
Wellesley College,20
Wesleyan University,21
Pitzer College,22
Vassar College,23
Kenyon College,24
Colgate University,25
University of Richmond,28
Connecticut College,29
Skidmore College,30
Lafayette College,31
Smith College,31
Scripps College,31
Mount Holyoke College,32
Franklin and Marshall College,32
Bucknell University,34
Oberlin College,35
DePauw University,36
Bryn Mawr College,37
Furman University,38
Union College,38
Macalester College,39
Denison University,39
College of the Holy Cross,40
Occidental College,41
Lawrence University,41
Gettysburg College,41
Trinity College,43
Whitman College,44
St. Olaf College,45
Dickinson College,46
Rhodes College,47
Sewanee: The University of the South,50
Sarah Lawrence College,52
