,University,Acceptance Rate (%)
2,Stanford University,4.3
0,Harvard University,5.0
4,Princeton University,5.8
1,Massachusetts Institute of Technology (MIT),6.0
7,Columbia University,6.2
11,Yale University,7.0
19,Brown University,7.1
5,California Institute of Technology,7.6
20,Duke University,7.7
3,University of California--Berkeley,8.7
6,University of Chicago,9.5
8,New York University,9.8
9,University of California--Los Angeles,10.6
25,Cornell University,10.6
24,Johns Hopkins University,14.1
34,University of Colorado--Boulder,14.2
18,University of Pennsylvania,15.0
45,Vanderbilt University,16.4
40,Indiana University--Bloomington,19.5
44,Washington University in St. Louis,19.9
28,University of North Carolina--Chapel Hill,21.1
10,University of Michigan--Ann Arbor,22.9
52,Arizona State University,28.7
29,University of California--Santa Barbara,29.2
23,University of California--Irvine,29.9
12,University of California--San Diego,30.2
43,Boston University,31.1
15,University of Texas--Austin,31.8
17,Northwestern University,32.1
27,University of Southern California,33.8
30,Purdue University--West Lafayette,36.7
13,University of Illinois--Urbana-Champaign,37.1
49,University of Illinois--Chicago,37.4
50,University of California--Davis,39.2
33,Rice University,44.1
16,University of Minnesota--Twin Cities,44.4
46,University of Arizona,45.0
51,University of Miami,45.6
22,University of Washington,46.0
21,University of Maryland--College Park,47.2
32,Stony Brook University--SUNY,49.7
42,University of Utah,51.4
14,University of Wisconsin--Madison,51.7
36,University of Pittsburgh,52.2
37,Michigan State University,56.1
26,Pennsylvania State University,56.7
58,University of Oregon,57.7
31,Rutgers University--New Brunswick,61.3
57,University of Delaware,63.4
35,Ohio State University,64.7
71,University of Central Florida,65.4
54,University of Connecticut,66.3
48,University of Notre Dame,67.7
39,University of Virginia,68.4
61,University of Kansas,70.6
60,University at Buffalo--SUNY,71.4
55,University of Georgia,72.2
76,University of New Hampshire,74.2
70,University of Alabama,74.5
38,Texas A&M University,76.3
74,Colorado State University,76.8
73,Clemson University,77.5
41,University of Florida,77.7
75,George Washington University,78.0
66,University of Oklahoma,78.1
82,University of Arkansas,78.3
56,University of Iowa,78.8
85,West Virginia University,78.9
67,Louisiana State University,79.5
83,University of Mississippi,79.7
79,University of Louisville,79.9
47,University of Massachusetts--Amherst,81.3
78,University of New Mexico,81.6
62,Florida State University,81.9
59,Syracuse University,82.0
81,Baylor University,82.1
77,University of Cincinnati,82.3
65,University of Tennessee,82.8
86,University of Rhode Island,83.2
93,University of South Dakota,83.5
84,Oklahoma State University,84.5
63,University of South Carolina,84.7
80,University of Vermont,84.8
64,University of Nebraska--Lincoln,85.2
87,University of Idaho,85.6
92,University of North Dakota,85.9
89,University of Montana,86.0
68,University of Kentucky,86.3
88,University of Maine,87.1
53,University of California--Riverside,88.0
69,Auburn University,88.1
97,New Mexico State University,88.2
94,South Dakota State University,88.4
91,University of Wyoming,88.6
98,University of Alaska--Fairbanks,89.0
72,University of Houston,89.3
95,North Dakota State University,89.9
90,University of Nevada--Reno,90.1
96,Montana State University,92.1
