,University,Acceptance Rate (%)
3,Harvard University,4
2,Stanford University,5
8,Yale University,5
4,Princeton University,6
7,Columbia University,7
1,California Institute of Technology,8
6,University of Chicago,9
0,Massachusetts Institute of Technology,10
9,Cornell University,10
32,University of Rochester,10
16,Johns Hopkins University,11
17,University of Maryland--College Park,12
5,University of California--Berkeley,14
18,University of Wisconsin--Madison,19
37,Brown University,20
41,Case Western Reserve University,20
15,University of California--Los Angeles,20
47,Rensselaer Polytechnic Institute,21
42,University of California--Irvine,23
13,University of Michigan--Ann Arbor,23
19,University of Washington,24
38,University of Pittsburgh,25
43,University of California--Davis,25
49,Indiana University--Bloomington,25
14,University of Pennsylvania,26
48,Georgia Institute of Technology,26
50,University of Iowa,27
44,University of Utah,28
45,Vanderbilt University,30
33,University of Virginia,30
12,University of California--San Diego,30
20,University of Texas--Austin,31
10,University of California--Santa Barbara,32
46,Rice University,32
40,University of Miami,33
34,University of Southern California,33
51,University of Nebraska--Lincoln,33
39,University of Notre Dame,34
36,Northwestern University,35
35,Boston University,40
52,University of Delaware,41
26,University of Florida,44
11,University of Illinois--Urbana-Champaign,45
53,University of Missouri,45
21,University of Minnesota--Twin Cities,45
31,Duke University,47
56,University of Tennessee,48
22,University of Colorado--Boulder,48
54,University of Kansas,49
27,University of Arizona,49
61,"Rutgers, The State University of New Jersey",50
29,University of North Carolina--Chapel Hill,51
57,Iowa State University,51
28,Texas A&M University,52
58,Washington University in St. Louis,52
64,University of Houston,52
30,Michigan State University,53
55,University of Oklahoma,53
59,University of Connecticut,54
23,Ohio State University,54
65,University of South Carolina,55
24,Pennsylvania State University,55
60,University of Massachusetts--Amherst,55
62,University of Kentucky,56
63,University of Oregon,57
25,Purdue University,58
71,University of Mississippi,59
66,University of Cincinnati,60
78,University of Wyoming,60
70,University of Arkansas,61
79,Clemson University,62
69,University of Alabama,62
67,University of Central Florida,63
80,Louisiana State University,64
68,University of New Mexico,64
77,University of Vermont,65
72,University of Nevada--Reno,66
81,Tulane University,66
73,University of Buffalo--SUNY,67
82,Auburn University,68
74,University of South Florida,69
75,University of Texas--Dallas,70
83,Florida State University,70
84,George Washington University,72
76,University of North Texas,73
85,Georgetown University,74
86,American University,76
87,Brigham Young University,78
88,Marquette University,80
89,New Jersey Institute of Technology,82
99,San Diego State University,82
90,Stevens Institute of Technology,85
98,Saint Louis University,85
91,Temple University,87
97,Syracuse University,88
96,Fordham University,89
92,Tulsa University,90
95,Clark University,90
93,West Virginia University,92
94,Worcester Polytechnic Institute,93
