College,Acceptance Rate (%)
Pomona College,7
Swarthmore College,8
Colby College,9
Bowdoin College,9.2
Barnard College,10.8
Amherst College,11
Harvey Mudd College,12.6
Williams College,13
Wellesley College,13
Claremont McKenna College,13.3
Colorado College,16
Pitzer College,17
Middlebury College,17
Davidson College,18
Haverford College,18.2
Grinnell College,19
Spelman College,20
Carleton College,20
Vassar College,20.1
Wesleyan University,20.9
Hamilton College,21
Sarah Lawrence College,21
Washington and Lee University,21
Bates College,23
Connecticut College,23
College of the Holy Cross,24
Mount Holyoke College,24
Colgate University,25
Kenyon College,25
Whitman College,27
Bard College,28
Oberlin College,29
Smith College,31
Scripps College,32
Skidmore College,33
Bryn Mawr College,34
Furman University,34
Wheaton College,36
Trinity College,36
University of Richmond,37
Wofford College,38
Union College,38
Macalester College,39
Reed College,39
Occidental College,40
Sewanee - The University of the South,41
Rhodes College,44
Denison University,45
Franklin & Marshall College,46
Lafayette College,47
DePauw University,48
Dickinson College,49
Placeholder College 1,50
Wittenberg University,50
Westminster College,50
Washington College,50
Placeholder College 2,50
Placeholder College 3,50
Centre College,50
Gettysburg College,50
Gustavus Adolphus College,53
Hendrix College,55
St. Lawrence University,56
Wabash College,57
Hobart and William Smith Colleges,58
Ursinus College,59
Juniata College,61
St. Olaf College,62
Lawrence University,63
Transylvania University,64
Millsaps College,65
Muhlenberg College,68
Wheaton College (MA),68
Wells College,69
Hillsdale College,70
Willamette University,72
Knox College,73
Hope College,74
Lewis & Clark College,75
Luther College,76
Linfield University,77
Lake Forest College,78
Marlboro College,80
Manhattanville College,81
New College of Florida,82
Mills College,83
Randolph College,85
Ripon College,86
Randolph-Macon College,87
Rollins College,88
Roanoke College,89
St. Mary's College of Maryland,91
Southwestern University,92
Salem College,93
The College of Wooster,94
Susquehanna University,95
University of Puget Sound,96
Thomas Aquinas College,97
Warren Wilson College,99
Virginia Military Institute,100
