,College,Acceptance Rate (%)
27,Bates College,5.2385482891171105
1,Williams College,5.324502180803665
43,Rhodes College,5.685742507248135
5,Bowdoin College,6.022159082620239
69,Juniata College,6.054652455129062
54,Gustavus Adolphus College,6.105208983071332
34,Franklin and Marshall College,6.2146116020385485
36,Denison University,6.276673075940973
99,Presbyterian College,6.369457074368608
78,St. John's College,6.6930450018600744
60,Wheaton College (IL),6.789998992253938
61,Willamette University,6.806749338693919
94,Augustana College,6.988120904023635
98,Roanoke College,7.028138668502866
14,Hamilton College,7.0332833225099485
47,Furman University,8.152358050999107
45,Dickinson College,8.611704876977399
10,Haverford College,8.732904090165492
15,Colgate University,9.136982378149153
56,Wabash College,9.442828475468763
53,Hobart and William Smith Colleges,9.471004140360368
75,Transylvania University,9.540525594678282
9,Davidson College,9.56997366591651
64,Allegheny College,9.586456991910435
76,Goucher College,10.455537598483204
68,Birmingham-Southern College,10.491021947868528
63,Knox College,10.75820102517196
93,Hampden-Sydney College,10.915353047733351
85,College of St. Benedict,11.043445433874666
13,Grinnell College,11.222132513938678
91,Carthage College,11.58402716257469
88,McDaniel College,11.823760621244965
57,Lawrence University,11.910920141484404
39,Union College,12.300150005112723
84,Wartburg College,12.4071400108776
49,College of Wooster,12.552416073179055
0,Amherst College,12.680398111510762
32,Bucknell University,12.717432504743165
67,Hendrix College,12.769447804986225
12,Vassar College,13.010606553558475
58,Earlham College,13.224168969140807
11,Smith College,13.254147307277737
7,Middlebury College,13.270261479366312
77,Cornell College,13.733507178710969
28,Mount Holyoke College,14.086865170890912
50,Bard College,14.288231014285596
35,College of the Holy Cross,14.904376104362822
87,Linfield College,16.144841512405996
96,Fairfield University,16.592508820527193
19,Bryn Mawr College,16.76679432711861
22,Barnard College,16.775682468260932
51,Trinity College,17.230560366828698
81,Guilford College,17.60970809095498
16,Harvey Mudd College,17.62066419284234
8,Claremont McKenna College,17.84479744998102
33,Connecticut College,18.300069063163633
95,Clarke University,18.587771680935248
2,Swarthmore College,18.59883026194176
59,Centre College,18.691851498759398
21,Macalester College,18.98384397879348
74,Westminster College,19.038624460987705
37,Whitman College,19.06143863633912
42,St. Olaf College,19.249206090775186
89,St. Norbert College,19.33129481102456
4,Wellesley College,19.361128383075783
41,Gettysburg College,19.427276339859535
31,Colorado College,19.51262751421678
92,Concordia College,19.55705118692289
29,Scripps College,19.586216278086873
6,Carleton College,19.95183694325559
30,Occidental College,20.14656579823484
24,Kenyon College,20.427411750019047
3,Pomona College,20.473525610887435
20,University of Richmond,20.83005699855672
23,Oberlin College,21.14459879124167
73,Kalamazoo College,21.215288014106758
86,Illinois Wesleyan University,22.252660715261246
46,Pitzer College,22.869934513046605
66,St. Lawrence University,23.288682124544394
79,Millsaps College,23.30486449554708
82,Hartwick College,23.614015662496037
80,Randolph College,23.731221414990088
83,Wells College,23.949104127128575
48,Wheaton College,24.320249151468623
38,Sewanee - The University of the South,24.593882155410082
55,Muhlenberg College,24.85369330939723
71,Ursinus College,25.41550026834587
65,Agnes Scott College,26.16099137894672
90,Ripon College,26.454693921249795
72,Hanover College,26.520706019192918
25,Lafayette College,26.73385404184855
44,Sarah Lawrence College,27.38626341411936
52,Reed College,27.706672904047785
17,Washington and Lee University,28.439652177585774
18,Colby College,28.77227772971122
97,Berry College,28.79879812246375
40,DePauw University,29.122187135389016
62,Southwestern University,29.252543893405726
26,Skidmore College,29.372583474709444
70,Lake Forest College,29.941650904038784
