University,Acceptance Rate (%)
Massachusetts Institute of Technology (MIT),4.1
Stanford University,3.68
Carnegie Mellon University,13.5
California Institute of Technology (Caltech),3.9
Harvard University,4
Princeton University,4.4
Columbia University,4.1
Georgia Institute of Technology,16
"University of California, Berkeley",14
"University of California, Los Angeles (UCLA)",10.8
Cornell University,8.7
University of Pennsylvania,5.9
Yale University,5.3
University of Chicago,5
Duke University,5.9
University of Southern California (USC),12.5
University of Michigan,20.2
Northwestern University,7
Brown University,5.5
Rice University,9.5
Vanderbilt University,7.1
University of Texas at Austin,31
University of Illinois at Urbana-Champaign,43.7
Northeastern University,18.4
University of Washington,46
Ohio State University,53
Pennsylvania State University,55
University of Wisconsin-Madison,49
"University of Maryland, College Park",45
New York University,12
"University of Minnesota, Twin Cities",75
University of Florida,40
University of North Carolina at Chapel Hill,21.9
University of Virginia,25.3
Boston University,19.4
"University of California, San Diego",29.6
"University of California, Santa Barbara",30.9
"University of California, Davis",41
University of Pittsburgh,48.3
University of Rochester,49
University of Colorado Boulder,52.2
University of Arizona,54.8
Purdue University,60.1
Texas A&M University,59.8
University of Miami,74
University of Georgia,67.9
University of Connecticut,49.9
University of Massachusetts Amherst,53.5
Michigan State University,71.8
Indiana University Bloomington,71.1
University of Iowa,76.4
University of Utah,79.5
University of Delaware,80.4
University of Tulsa,82.9
University of Kansas,84
University of Oregon,85
University of Nebraska-Lincoln,85.6
University of Missouri,86
University of South Carolina,88.3
Clemson University,90.2
University of Oklahoma,92.7
University of Kentucky,94.1
University of Tennessee,93.5
University of Alabama,95.4
University of Mississippi,96
University of Arkansas,97.8
University of New Hampshire,98.1
University of Vermont,99.2
University of Maine,99.4
University of Rhode Island,99.5
University of Montana,99.6
University of Idaho,99.7
University of Wyoming,99.8
University of North Dakota,99.9
University of South Dakota,100
"University of Nevada, Reno",100
University of Hawaii at Manoa,100
University of New Mexico,100
University of Alaska Fairbanks,100
"University of Puerto Rico, Mayagüez",100
University of Texas at El Paso,100
University of Texas at San Antonio,100
University of Central Florida,100
University of South Florida,100
Florida State University,100
Arizona State University,100
"University of Nevada, Las Vegas",100
University of Utah,100
University of Colorado Denver,100
University of Denver,100
University of Colorado Colorado Springs,100
University of Southern Mississippi,100
University of West Virginia,100
