College Name,Acceptance Rate (%)
Pomona College,7
Swarthmore College,9
Williams College,12
Claremont McKenna College,12
Amherst College,13
Harvey Mudd College,13
Colorado College,13
Bowdoin College,14
Bates College,14
Grinnell College,15
Middlebury College,16
Colby College,17
Carleton College,17
Davidson College,18
Wesleyan University,19
Haverford College,19
Washington and Lee University,19
Wellesley College,20
Hamilton College,21
Bryn Mawr College,22
Colgate University,23
Scripps College,23
Kenyon College,23
Vassar College,24
Barnard College,25
Connecticut College,26
Union College,26
Skidmore College,28
Trinity College,29
Furman University,29
Smith College,29
Franklin & Marshall College,30
St. Olaf College,30
Whitman College,30
University of Richmond,30
Macalester College,31
Lafayette College,31
Mount Holyoke College,32
Rhodes College,32
Sewanee - The University of the South,33
Sarah Lawrence College,34
Bucknell University,34
Pitzer College,35
Denison University,35
Dickinson College,36
Oberlin College,36
Occidental College,37
Lawrence University,37
Gettysburg College,38
Centre College,38
Bard College,39
DePauw University,39
Beloit College,41
Wheaton College,43
Illinois Wesleyan University,44
Hobart and William Smith Colleges,45
Goucher College,45
College of the Holy Cross,47
Hendrix College,47
Agnes Scott College,48
Wabash College,48
Ursinus College,49
St. Lawrence University,49
Augustana College,51
Gustavus Adolphus College,52
Transylvania University,53
Knox College,53
Spelman College,55
Randolph-Macon College,56
Earlham College,57
Hiram College,59
Southwestern University,59
Allegheny College,60
Millsaps College,61
Lake Forest College,62
Kalamazoo College,62
Ohio Wesleyan University,63
Moravian College,63
Hampden-Sydney College,64
Ripon College,65
Hanover College,65
Wofford College,67
Juniata College,68
Wartburg College,68
Willamette University,69
Washington & Jefferson College,69
New College of Florida,70
Albion College,70
Bennington College,72
Cornell College,73
St. John's College,75
Wells College,75
Carthage College,76
Luther College,77
Hollins University,78
St. Mary's College of Maryland,80
The College of Wooster,80
Guilford College,81
Simon's Rock College,82
Marlboro College,83
