College,Acceptance Rate (%)
Pomona College,7
Swarthmore College,9
Bowdoin College,9
Harvey Mudd College,10
Colby College,10
Barnard College,11
Amherst College,12
Claremont McKenna College,13
Hamilton College,14
Wellesley College,14
Grinnell College,15
Williams College,15
Wesleyan University,16
Middlebury College,16
Bates College,17
Washington and Lee University,18
Haverford College,19
Carleton College,19
Davidson College,20
Colgate University,22
Vassar College,23
Mount Holyoke College,24
Union College,28
Skidmore College,30
Lafayette College,31
Scripps College,32
Bryn Mawr College,33
Oberlin College,35
Smith College,37
Macalester College,41
