University,Estimated Acceptance Rate (%)
Stanford University,4
Harvard University,4
Brown University,6
Yale University,6
Princeton University,6
Columbia University,6
University of Pennsylvania,6
Massachusetts Institute of Technology,7
University of Chicago,7
Northwestern University,7
Duke University,8
Cornell University,9
Vanderbilt University,11
Johns Hopkins University,11
"University of California, Los Angeles",12
"University of California, Berkeley",12
New York University,13
University of Southern California,13
Washington University in St. Louis,13
Emory University,13
Carnegie Mellon University,14
Boston University,14
Georgetown University,17
University of Notre Dame,19
"University of Michigan, Ann Arbor",20
University of Virginia,24
"University of North Carolina, Chapel Hill",25
University of Miami,28
University of Florida,29
"University of California, Irvine",30
Case Western Reserve University,30
University of Texas at Austin,31
"University of California, San Diego",31
University of Rochester,41
"University of California, Davis",46
University of Georgia,47
Pennsylvania State University,49
University of Connecticut,50
Tulane University,51
"University of Minnesota, Twin Cities",52
"University of Maryland, College Park",52
Pepperdine University,53
University of Pittsburgh,53
University of Colorado Boulder,54
University of Washington,55
University of Tulsa,55
Drexel University,55
Purdue University,56
Syracuse University,57
Marquette University,57
Southern Methodist University,57
Ohio State University,57
University of San Diego,58
Seton Hall University,59
University of Illinois at Urbana-Champaign,59
University of Wisconsin-Madison,60
Fordham University,61
University of the Pacific,61
DePaul University,62
University of Dayton,63
University of Oklahoma,64
American University,64
Texas A&M University,64
University of Arizona,65
San Diego State University,66
Rutgers University-New Brunswick,67
University of Rhode Island,67
Wake Forest University,68
University of St. Thomas,68
University of Delaware,68
University of Massachusetts Amherst,69
University of Oregon,70
University of Houston,70
Clark University,71
University of San Francisco,73
Indiana University Bloomington,73
University of Iowa,74
Temple University,74
University of Kansas,76
Michigan State University,76
Saint Louis University,76
University of Miami,76
University of Missouri,77
University of Nebraska-Lincoln,77
University of Tennessee,78
University of Kentucky,78
University of Cincinnati,78
University of Denver,78
Baylor University,79
Clemson University,79
University of Portland,79
University of Utah,80
University of Alabama,80
University of Arkansas,80
University of Hawaii at Manoa,80
University of Vermont,81
University of Louisville,82
University of New Hampshire,83
University of South Carolina,85
Auburn University,86
