University,Acceptance Rate (%)
Princeton University,4
Stanford University,4.3
Yale University,4.5
Harvard University,4.6
Columbia University,5.8
University of Chicago,6
California Institute of Technology (Caltech),6.4
Northwestern University,6.8
Massachusetts Institute of Technology (MIT),7
Duke University,7.7
University of Pennsylvania,8.4
Rice University,8.7
Cornell University,9
"University of California, Los Angeles (UCLA)",11
Johns Hopkins University,11.5
Georgetown University,11.8
University of Southern California (USC),12.4
New York University (NYU),12.8
"University of California, Riverside (UCR)",13.1
Boston University,14.2
"University of California, Berkeley",15.1
Emory University,16.3
University of North Carolina at Chapel Hill,19.2
"University of Michigan, Ann Arbor",20.2
University of Florida,23
Vanderbilt University,23.1
University of Virginia,23.9
University of Miami,28.5
University of Kansas,29.2
University of Rochester,29.4
"University of California, Santa Barbara (UCSB)",29.7
"University of California, Irvine (UCI)",29.9
"University of California, San Diego (UCSD)",31
University of Texas at Austin,31.8
University of Notre Dame,36.6
"University of California, Davis (UCD)",39.1
University of Illinois Urbana-Champaign,44.8
University of Georgia,45.3
Wake Forest University,48.8
University of Wisconsin-Madison,51.7
"University of Maryland, College Park",52
"University of Minnesota, Twin Cities",52.4
University of Washington,53.2
Pennsylvania State University,54
Utah State University,55
University of Delaware,56
University of Iowa,56
University of Pittsburgh,56.7
Ohio State University,57
University of Wyoming,57.7
University of Arkansas,60
Rutgers University,62.8
Case Western Reserve University,62.8
University of Nebraska-Lincoln,64
University of Tennessee,64.7
University of Massachusetts Amherst,65
Texas A&M University,65
University of Connecticut,65.5
Stony Brook University (SUNY),66
Virginia Tech,66
Clemson University,67
University of Illinois Chicago (UIC),67.2
Purdue University,67.3
Michigan State University,68.5
University of Arizona,68.6
University of Houston,70
Indiana University Bloomington,74.1
University of Oregon,76
University of Missouri,76.1
Florida State University,76.5
University of Cincinnati,77.7
University of Oklahoma,77.8
University at Buffalo (SUNY),77.8
University of Central Florida,78
Temple University,78
University of Kentucky,78.2
University of Hawaii at Manoa,78.3
Iowa State University,78.6
Colorado State University,79
Brigham Young University,79.2
Washington State University,79.3
Kansas State University,80
University of South Carolina,80
University of Alabama,80
University of Colorado Boulder,80
University of Louisville,80
University of Texas at Dallas,81.5
University of Vermont,81.5
Oregon State University,82.3
West Virginia University,82.5
University of Arizona,82.7
Auburn University,85.5
University of Rhode Island,86
Arizona State University,87
Louisiana State University,90.1
University of Utah,91.6
Oklahoma State University,92
University of New Mexico,92.3
Baylor University,94
University of Mississippi,95.2
